name,age,zip_code,salary,medical_risk
Jonathan Hayes,19,33975,70322,High
Melissa Carter,34,10971,111415,High
Nicholas Ramirez,47,12267,39614,High
Patricia Nguyen,81,61406,49125,Medium
Brandon Collins,41,16821,84341,High
Heather Jenkins,62,52886,75275,Low
Tyler Simmons,26,28460,85077,High
Angela Bryant,70,38258,54024,Low
Christopher Ward,64,68133,130529,Medium
Samantha Price,65,08981,122467,High
Ryan Cooper,53,18108,70653,Medium
Victoria Peterson,27,71528,90303,High
Justin Howard,74,05947,131356,Medium
Kimberly Bailey,77,48705,42406,Medium
Nathan Richardson,78,98813,123308,Low
Rebecca Flores,81,31908,72148,Low
Aaron Hughes,74,05904,72197,High
Megan Patterson,66,05591,78636,Low
Zachary Butler,52,25781,123387,Low
Lauren Griffin,81,67802,137668,Medium
Andrew Brooks,84,62788,46742,High
Stephanie Sanders,45,65558,93042,Medium
Joshua Bennett,68,30158,143027,High
Rachel Murphy,41,44079,49445,Medium
Eric Powell,54,83213,56558,High
