name,age,zip_code,salary,medical_risk
Jonathan Hayes,19,33975,54024,High
Melissa Carter,34,10971,56558,High
Nicholas Ramirez,47,12267,39614,High
Patricia Nguyen,81,61406,93042,Medium
Brandon Collins,41,16821,137668,High
Heather Jenkins,62,52886,143027,Low
Tyler Simmons,26,28460,72197,High
Angela Bryant,70,38258,90303,Low
Christopher Ward,64,68133,72148,Medium
Samantha Price,65,08981,78636,High
Ryan Cooper,53,18108,70653,Medium
Victoria Peterson,27,71528,130529,High
Justin Howard,74,05947,49445,Medium
Kimberly Bailey,77,48705,75275,Medium
Nathan Richardson,78,98813,49125,Low
Rebecca Flores,81,31908,85077,Low
Aaron Hughes,74,05904,42406,High
Megan Patterson,66,05591,46742,Low
Zachary Butler,52,25781,111415,Low
Lauren Griffin,81,67802,123308,Medium
Andrew Brooks,84,62788,131356,High
Stephanie Sanders,45,65558,84341,Medium
Joshua Bennett,68,30158,70322,High
Rachel Murphy,41,44079,122467,Medium
Eric Powell,54,83213,123387,High
