name,age,zip_code,salary,medical_risk
Jennifer Adams,29,58321,68450,Low
Michael Turner,45,17284,119300,Medium
Patricia Coleman,38,65491,87520,Low
Daniel Foster,52,48017,132640,High
Rebecca Hughes,24,79325,55870,Low
Christopher Bennett,67,25168,102340,Medium
Stephanie Reed,41,91642,145780,High
Brandon Murphy,33,70455,76590,Low
Cynthia Patterson,58,32849,112460,Medium
Joshua Sanders,27,84516,91730,Low
Victoria Ross,73,19374,126850,High
Andrew Cooper,49,56281,104920,Medium
Kimberly Richardson,36,47193,138240,High
Ryan Howard,22,68547,62480,Low
Melissa Price,61,21836,95840,Medium
Nathan Ward,54,73095,151320,High
Heather Brooks,31,59472,87410,Low
Justin Bailey,46,30718,117650,Medium
Samantha Powell,65,88924,129430,High
Aaron Jenkins,28,14267,79380,Low
Lauren Bryant,43,52681,108540,Medium
Tyler Griffin,57,67425,141760,High
Megan Simmons,35,38194,99270,Low
Zachary Butler,70,91583,121690,Medium
Rachel Henderson,26,24759,88630,Low
